,Device,Qubits,sim_iter_num,Dataset,Diff_mae_HQCNN-EZ,%_mae_improve_HQCNN-EZ,Diff_mae_HQCNN-EM,%_mae_improve_HQCNN-EM,Diff_mse_HQCNN-EZ,%_mse_improve_HQCNN-EZ,Diff_mse_HQCNN-EM,%_mse_improve_HQCNN-EM,Diff_rmse_HQCNN-EZ,%_rmse_improve_HQCNN-EZ,Diff_rmse_HQCNN-EM,%_rmse_improve_HQCNN-EM,Diff_r-squared_HQCNN-EZ,%_r-squared_improve_HQCNN-EZ,Diff_r-squared_HQCNN-EM,%_r-squared_improve_HQCNN-EM,Diff_adj r-squared_HQCNN-EZ,%_adj r-squared_improve_HQCNN-EZ,Diff_adj r-squared_HQCNN-EM,%_adj r-squared_improve_HQCNN-EM
32,FakeGuadalupeV2,8,1,Train,0.31862847287440677,53.4107672312558,0.3465245792176575,58.08691066914942,0.3572245115895925,76.31048293142696,0.37046678411623835,79.13930396367147,0.35118333533415336,51.3281220122204,0.3716979478164996,54.326489037595834,2.419101976861034,-111.475337012573,2.5087778154668268,-115.60771523642832,2.6317702825191462,-121.27536664005191,2.729329711332042,-125.7710308616088
33,FakeGuadalupeV2,8,1,Test,0.36633813444059343,65.32480091593955,0.3246573170181364,57.89234755070801,0.3303704408014516,82.21851476015095,0.31822993428277935,79.19713545036865,0.366592225549458,57.83190158443347,0.3447732637552101,54.3898426338701,3.2979783387805233,-109.52242767763494,3.17678369611433,-105.49767974941385,5.696508039711813,-189.17510235227851,5.487171838742934,-182.2232650217148
34,FakeGuadalupeV2,8,2,Train,0.22419225186109543,46.1551889525211,0.30711194906500167,63.226137036415466,0.22873254689924974,69.1377754639699,0.2788268306248907,84.27950928017799,0.25564724402977146,44.44622016817389,0.34712845858967956,60.35092596311734,1.5489624547716927,-124.87608324127297,1.8881978007754974,-152.22495872592575,1.6851349782681053,-135.85420044929697,2.054193211832684,-165.6073726798533
35,FakeGuadalupeV2,8,2,Test,0.24960769941098987,54.163200823470405,0.2590031303465366,56.20194647829558,0.20334524721176916,72.39026862829814,0.223712782713056,79.6410472250512,0.2515123037729928,47.45503699525343,0.29085995269736964,54.879103760066116,2.029928037664315,-112.51468877477267,2.233250377080137,-123.78442312784483,3.5062393377838172,-194.3435533382437,3.8574324695020548,-213.8094581299138
36,FakeGuadalupeV2,8,3,Train,0.19396138976560906,41.93277276755045,0.2411005069920793,52.123841688582594,0.19634008018199078,64.68175859100623,0.228925106564144,75.4164838095066,0.22352579836236297,40.57084771848602,0.2777801405846117,50.418232997912035,1.3296027027702584,-125.95623266953022,1.5502664567393531,-146.8602027643216,1.4464908524643467,-137.02930806904934,1.6865536177713838,-159.77098982052567
37,FakeGuadalupeV2,8,3,Test,0.2390964899212122,53.169440630304344,0.20655764922266828,45.93356711635079,0.19383146287937603,73.06646269137339,0.16292593173439157,61.41635282367164,0.24775387919629893,48.10246893288024,0.19512456340456868,37.88426352660031,1.9349550898063113,-117.39719630365207,1.6264354413250426,-98.6787557945678,3.3421951551199927,-202.77697543358087,2.8092975804705285,-170.4451236451626
38,FakeGuadalupeV2,8,4,Train,0.3907658901694231,64.63617067114915,0.3873477948945947,64.07078716375482,0.4177918107112392,86.022678479402,0.41254361747357154,84.94208372405461,0.4363582113770844,62.61374380792053,0.4264741854584535,61.19546898112876,2.8292599259511597,-123.60407341936673,2.7937194906666494,-122.05139084963568,3.077986073287525,-134.47036558810223,3.0393212041318494,-132.78118345180147
39,FakeGuadalupeV2,8,4,Test,0.42085700524039565,73.5949561693452,0.383461301960051,67.05559693433194,0.38648932345106896,91.34299774021329,0.36634409782282523,86.5818693276461,0.45908768473985173,70.57721586969258,0.41220150514854753,63.36923332449362,3.8581944977262763,-119.67647968277011,3.6570914039064433,-113.43850740432357,6.664154132436296,-206.7139194520575,6.316794243111129,-195.93924006201345
40,AerSim with backend noise,4,0,Train,0.2798975624935702,66.80199351385276,0.32889046579599385,78.49492709811184,0.2343357489857546,87.63234506974736,0.25163146627656424,94.10026245929242,0.33525760717303643,64.83232317844603,0.39151092570826407,75.7106246669298,1.2021974109329023,-323.2887288101128,1.2909285014183869,-347.149836135845,1.2528162492879718,-336.9008858126438,1.3452833856886346,-361.76667134156475
41,AerSim with backend noise,4,0,Test,0.3822091013891623,75.65799324355669,0.4278021305799485,84.68309777909089,0.29402288594168974,92.68183564008443,0.3068258961262821,96.71759796459287,0.4108714959823845,72.94789405625585,0.4611953032577861,81.88259942649849,2.202113668808779,-160.0381771402869,2.2980030878895104,-167.00692178507296,2.7893439804911195,-202.71502437769672,2.910803911326713,-211.54210092775904
42,AerSim with backend noise,4,1,Train,0.3191258857655339,75.42780641581244,0.3004674083576538,71.01773476474806,0.25021991786267356,92.79812398169585,0.24400204151538424,90.49212346380229,0.3799154311531413,73.16368874397202,0.35915233650796696,69.16515520357252,1.2836869266440276,-334.8941076399155,1.2517877611152266,-326.5721076627449,1.3377369025027233,-348.9949121721224,1.3044946142148148,-340.322512195913
43,AerSim with backend noise,4,1,Test,0.3570711476262659,73.68852755739279,0.3562048239633441,73.50974493792543,0.28582944657865883,93.42955433290753,0.2803750743215813,91.64667445385949,0.41133181814543884,74.36711942232697,0.3932493334874486,71.0978797557333,2.1407480891937807,-165.78284873114916,2.0998970252923685,-162.61927905125054,2.7116142463121222,-209.99160839278895,2.6598695653703333,-205.984420131584
44,AerSim with backend noise,4,2,Train,0.28431573979090896,68.17225265016046,0.31414766858331855,75.32525018794493,0.23569665574292128,88.54045681984188,0.2470142612239884,92.79196372494366,0.3412894759433508,66.14805296565925,0.37742729482251103,73.15221373175,1.2091791821183406,-330.6660638572478,1.267241155445876,-346.54387953909406,1.2600919897864813,-344.5888454933425,1.3205986777804393,-361.13520078284546
45,AerSim with backend noise,4,2,Test,0.4053318379912525,77.84932821848068,0.4334126728354022,83.24262310314833,0.3159581542892731,93.09839226236471,0.32749195369978196,96.49687452091055,0.4295191784725225,73.72908882882953,0.47352765795526386,81.28336173590608,2.3664000443488833,-153.4802600054957,2.452783583010623,-159.08293399363222,2.997440056175252,-194.40832934029456,3.1068592051467894,-201.5050497252675
46,AerSim with backend noise,4,3,Train,0.3049717875942588,67.90845897929721,0.35715157515835017,79.52739918126377,0.274008853621153,88.88451615180242,0.29220770467012225,94.78796068882768,0.3701137807451387,66.660108206238,0.4284679624119907,77.17010882379786,1.4057297523822023,-241.73212181037437,1.4990941310897565,-257.78724857157283,1.464918373535137,-251.9103164129164,1.562213883977746,-268.6414485114285
47,AerSim with backend noise,4,3,Test,0.4181965004652738,77.53524034332362,0.43485326436348254,80.62346846276685,0.33252697731585157,93.44253360059018,0.3400482960823326,95.5560796570056,0.44378232257555683,74.39244955211487,0.470787442570181,78.91939198458827,2.4904938935267946,-149.55514537142594,2.5468255590367392,-152.9378842114012,3.1546255984672733,-189.43651747047286,3.2259790414465366,-193.7213200011082
48,AerSim with backend noise,4,4,Train,0.2846719970926642,67.61382973345005,0.31531721075763924,74.89252338807863,0.23819051959422322,87.97318536728827,0.2522548570977842,93.16770180890269,0.33988755271874815,65.32030185726563,0.3843299496104574,73.86133478714476,1.2219732891985906,-314.10832098519364,1.294126642694371,-332.655345638142,1.2734247961122156,-327.3339345003597,1.3486161855446603,-346.66188650711644
49,AerSim with backend noise,4,4,Test,0.3854789266362786,80.30300236865745,0.4013097535818815,83.60088156740821,0.2841079305138244,93.93332669670149,0.2917273111453514,96.45248823081755,0.4145021450616252,75.36938225846028,0.4463766604714312,81.16516055501815,2.1278546232810704,-168.17237858612944,2.184920732889525,-172.6825285204856,2.6952825228226893,-213.01834620909733,2.7675662616600647,-218.73120279261508
50,AerSim with backend noise,8,0,Train,0.33183382571442055,60.254516584877614,0.3849314379901625,69.89600190542329,0.3432425574559966,82.61867116197863,0.3734705221015764,89.8945587717755,0.37583536582147503,58.309079120243254,0.4396585443129202,68.21094334802541,2.324417060827552,-128.1780527896471,2.5291189406207804,-139.46616833330728,2.52876141782338,-139.4464530348908,2.751459067268761,-151.72693038458704
51,AerSim with backend noise,8,0,Test,0.3542426709551364,68.77581499453161,0.30039528456982223,58.32140566549726,0.3022664334711539,85.85433223683289,0.2852702165343207,81.02680693438008,0.37018922978925534,62.38927312166499,0.33489949023228544,56.44177108097724,3.0174253716827373,-119.99684764740506,2.847757785312389,-113.24951407506501,5.211916551088364,-207.26728230006324,4.918854356448672,-195.61279703874862
52,AerSim with backend noise,8,1,Train,0.3153165988670662,53.348700874859375,0.39947758494527075,67.58797431543147,0.3480260396714064,75.44343265834175,0.4056499145201532,87.93486268400518,0.3426232755051044,50.44541661797744,0.44327793485023337,65.26509347069606,2.356810502229669,-110.96387796812195,2.7470357668418233,-129.33655095202806,2.564002634293815,-120.71894416312168,2.9885334166740707,-140.70679718956893
53,AerSim with backend noise,8,1,Test,0.3469455343671143,62.541986921750734,0.3296269932761788,59.42006759113042,0.32976110973725997,82.00512671562414,0.3310059980145672,82.31470603808795,0.3651305126556831,57.579635451382714,0.3674544628153836,57.94611318568514,3.291895589228309,-109.21088861412574,3.3043228952633195,-109.6231729950776,5.686001472303442,-188.63698942439896,5.707466819091188,-189.34911699149768
54,AerSim with backend noise,8,2,Train,0.34481369134038686,52.46531783529542,0.345021047256887,52.4968681894067,0.41105648540119377,73.20255039405465,0.4113990300205329,73.2635520827518,0.36144202462634706,48.23374689438558,0.3618837986186218,48.292700788720175,2.7836487255891527,-99.32144653273328,2.7859684162568477,-99.40421381242128,3.0283650970695173,-108.05300227187465,3.0308887165871194,-108.14304579593082
55,AerSim with backend noise,8,2,Test,0.35945770591497417,57.247644047552605,0.36386015489697454,57.94878309148419,0.3911446915016937,79.0980747964619,0.39294855683794727,79.46285611240394,0.3817127066181904,54.28137665727664,0.38453045729683016,54.68207431093512,3.9046674901428053,-99.19163575670778,3.922674878426725,-99.64908374788689,6.744425664792119,-171.33100721613167,6.775529335464343,-172.121144655441
56,AerSim with backend noise,8,3,Train,0.253283000010415,49.22928766246057,0.2417557427100837,46.98879514786673,0.26187225617930465,71.85727136159726,0.2568330722584337,70.47452844821628,0.2834311405938062,46.950279323635684,0.2756579584127217,45.66265413936404,1.7733824865193584,-120.80891724293632,1.7392574492129869,-118.48420227637033,1.9292842435760056,-131.42948139616152,1.8921592029899528,-128.90039588308423
57,AerSim with backend noise,8,3,Test,0.29079248970374466,58.22328143910883,0.23522061351686718,47.096525756304786,0.24126440658056122,75.72510257173383,0.21540428458072852,67.6084457523161,0.28634875844838653,50.730437967984564,0.24320198639823093,43.08642143768861,2.4084624062950732,-110.4528862277141,2.1503094008785695,-98.61390362118294,4.160071429055126,-190.78225802968797,3.7141707833357103,-170.3331062547705
58,AerSim with backend noise,8,4,Train,0.41436712559312583,68.82306146911394,0.4010911160055548,66.61802258577568,0.42806766128910795,88.5711792419454,0.4199926413335582,86.90038253258538,0.4601771881730221,66.19346104959192,0.44358376512399816,63.80660631079945,2.898847341261031,-127.53951297795743,2.8441638128247027,-125.13362202764206,3.1536910635696924,-138.75177785514046,3.094200191974127,-136.13438000809413
59,AerSim with backend noise,8,4,Test,0.4203345547255594,74.16021921832942,0.3725898674689233,65.73655660564104,0.3769535158757256,90.18615636244853,0.3598372278622687,86.09108319794926,0.44397614250785494,68.67294517904455,0.40539509120908757,62.70533978965523,3.763001699151533,-118.61378456016259,3.592135483119104,-113.22790111991578,6.499730207625376,-204.87835514937177,6.20459765266027,-195.57546557076364
