,Device,Qubits,Model,Model_spec,sim_iter_num,Dataset,MAE,MSE,RMSE,R-squared,Adj R-squared
38,noiseless,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.12815378186292947,0.030564226457527877,0.17482627507765494,0.8431983422356927,0.8365961671719324
39,noiseless,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.10987849864177406,0.017639607031595703,0.13281418234358747,0.8678864074397394,0.8326561160903366
40,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.14095902163535357,0.03237713461606116,0.17993647383468744,0.8338976977378685,0.8269039165899893
41,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.11905253416334745,0.022744612591534267,0.1508131711473977,0.8296519601895517,0.7842258162400988
42,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.09820053676143288,0.018125241574067964,0.13463001735893806,0.9070132551811267,0.9030980238203321
43,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.12074349438771606,0.021564049653345248,0.14684702807120492,0.838493903818357,0.7954256115032522
44,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.13668503496795892,0.03229646347692278,0.17971216841639517,0.8343115596220622,0.827335204237728
45,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.12823275425471364,0.02684206385317799,0.1638354780051561,0.7989636911398666,0.7453540087771644
46,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.13709175462834536,0.03307981513499283,0.1818785725009761,0.8302927816965522,0.8231472146100912
47,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.13186172964051365,0.02799473301740534,0.1673162664459297,0.7903306607074573,0.7344188368961125
48,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.13857209766312736,0.03376619296827663,0.18375579710114354,0.8267715022602435,0.8194776707764644
49,FakeGuadalupeV2,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.10866398354992271,0.019996325148665815,0.14140836307894175,0.8502355325341765,0.8102983412099569
50,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.1390982604911551,0.03307207719902306,0.18185729899848138,0.8303324791248322,0.8231885835090357
51,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.12297096617985517,0.02321606806811446,0.1523681990052861,0.8261209474730181,0.7797532001324896
52,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.10396196595625952,0.019419065261628263,0.13935230626591102,0.900375635892901,0.8961809258252337
53,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.12749701985158027,0.020100993333527186,0.14177797196153988,0.8494516097458724,0.8093053723447717
54,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.13273918906692417,0.03050555758257147,0.17465840255358878,0.8434993273388202,0.8369098253320336
55,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.11533012180589139,0.023422737916531513,0.15304488856715048,0.8245730730731318,0.7777925592259669
56,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.14412069981917738,0.03426627177097258,0.18511151171921367,0.8242059805911616,0.8168041271423684
57,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.12116663120687007,0.02333556675556831,0.15275983358058595,0.825225950159445,0.7786195368686304
58,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.13635429030284285,0.032563027182305575,0.18045228505703545,0.8329440252281556,0.8259100894482885
59,AerSim with backend noise,4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.09455160181969405,0.018349078627533957,0.13545877095092054,0.8625727493071645,0.8259254824557418
