,Device,Qubits,Model,Model_spec,sim_iter_num,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CNOT/ECR error,Gate length (ns),MEASURE error
26,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,262.65449699187104,156.87363254666934,4.747595767863307,-0.3097991415649545,0.006561279296875,0.010009765625,0.00439453125,840.0,0.00023283544264633436,60.0,0.0,0.00023283544264633436,0.00023283544264633436,0.006055378340005118,641.0,0.006561279296875
27,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,262.65449699187104,156.87363254666934,4.747595767863307,-0.3097991415649545,0.006561279296875,0.010009765625,0.00439453125,840.0,0.00023283544264633436,60.0,0.0,0.00023283544264633436,0.00023283544264633436,0.006055378340005118,641.0,0.006561279296875
28,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,262.65449699187104,156.87363254666934,4.747595767863307,-0.3097991415649545,0.006561279296875,0.010009765625,0.00439453125,840.0,0.00023283544264633436,60.0,0.0,0.00023283544264633436,0.00023283544264633436,0.006055378340005118,641.0,0.006561279296875
29,AerSim with backend noise,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,262.65449699187104,156.87363254666934,4.747595767863307,-0.3097991415649545,0.006561279296875,0.010009765625,0.00439453125,840.0,0.00023283544264633436,60.0,0.0,0.00023283544264633436,0.00023283544264633436,0.006055378340005118,641.0,0.006561279296875
30,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,77.75083542019999,91.9975750866801,5.213362273513168,-0.3276144151942843,0.01558749999999999,0.025925000000000004,0.005250000000000002,5351.11111111111,0.0002794650457211979,35.55555555555556,0.0,0.0002794650457211979,0.0002794650457211979,0.009778603054740244,376.8888888888889,0.01558749999999999
31,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,72.00744296479472,87.67051848892032,5.223312730050459,-0.3254948963366282,0.016874999999999987,0.028249999999999997,0.005500000000000002,5351.11111111111,0.00029521695054826743,35.55555555555556,0.0,0.00029521695054826743,0.00029521695054826743,0.010220273458545221,376.44444444444446,0.016874999999999987
32,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,71.50173697908181,91.13622573073906,5.261098756909979,-0.32513037674538947,0.02416249999999999,0.03839999999999999,0.009925,5351.11111111111,0.000488180637323073,35.55555555555556,0.0,0.000488180637323073,0.000488180637323073,0.011195919796557135,405.4814814814814,0.02416249999999999
33,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,75.56937172953907,93.4647427932999,5.219220192377807,-0.327441610902663,0.021549999999999986,0.035324999999999995,0.007775000000000005,5351.11111111111,0.0003005624902146094,35.55555555555556,0.0,0.0003005624902146094,0.0003005624902146094,0.010516668560615023,388.14814814814815,0.021549999999999986
34,FakeGuadalupeV2,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,71.3044364122238,92.51129098079109,5.245064905547148,-0.32518291148968614,0.023549999999999988,0.037425,0.009675000000000003,5351.11111111111,0.00048743549228020665,35.55555555555556,0.0,0.00048743549228020665,0.00048743549228020665,0.010581655273036877,401.037037037037,0.023549999999999988
35,AerSim with backend noise,8,QCNN,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,308.21396932591307,180.36840338021864,4.749718595480591,-0.3122283361314206,0.05206298828125,0.03118896484375,0.02117919921875,840.0,0.0009898210004968809,60.0,0.0,0.0009898210004968809,0.0009898210004968809,0.026224417161146388,636.0,0.05206298828125
