,Device,Qubits,sim_iter_num,Dataset,Diff_loss_HQCNN-EZ,%_loss_improve_HQCNN-EZ,Diff_loss_HQCNN-EM,%_loss_improve_HQCNN-EM,Diff_accu_HQCNN-EZ,%_accu_improve_HQCNN-EZ,Diff_accu_HQCNN-EM,%_accu_improve_HQCNN-EM
20,noiseless,10,0,Train,0.2275984287261963,36.558506451144076,0.23197388648986816,37.26132413655236,12.0,16.10738255033557,14.0,18.79194630872483
21,noiseless,10,0,Test,0.256596177816391,40.21816711855204,0.2681122422218323,42.02316283886031,20.0,28.57142857142857,21.5,30.714285714285715
22,noiseless,10,1,Train,0.2739694118499756,43.74165945877685,0.31283384561538696,49.94671284537799,9.5,12.101910828025478,10.5,13.375796178343949
23,noiseless,10,1,Test,0.3197815418243408,51.525304575438334,0.3535730242729187,56.97001040581727,8.0,9.523809523809524,7.5,8.928571428571429
24,noiseless,10,2,Train,0.28109413385391235,50.06330661260313,0.24100154638290405,42.92275383074804,39.0,74.28571428571429,35.0,66.66666666666666
25,noiseless,10,2,Test,0.2545148432254791,46.885005836400495,0.28670236468315125,52.814373696746756,43.0,87.75510204081633,42.5,86.73469387755102
26,noiseless,10,3,Train,0.30401143431663513,53.19895772935863,0.2132934331893921,37.324215655566725,39.5,79.7979797979798,38.0,76.76767676767676
27,noiseless,10,3,Test,0.30565373599529266,56.09115994300774,0.176791250705719,32.443334244118596,41.5,81.37254901960785,38.5,75.49019607843137
28,noiseless,10,4,Train,0.21043652296066284,33.333289273389525,0.3817337900400162,60.46689362573149,3.5,4.166666666666666,4.5,5.357142857142857
29,noiseless,10,4,Test,0.21927127242088318,34.35078090764587,0.38776084780693054,60.74616059148802,1.0,1.1494252873563218,5.0,5.747126436781609
30,FakeGuadalupeV2,4,0,Train,0.04193919897079468,7.457102923309235,0.1888233721256256,33.574206346851206,3.5,4.2682926829268295,3.5,4.2682926829268295
31,FakeGuadalupeV2,4,0,Test,0.043471455574035645,8.318282040321193,0.291092112660408,55.700603093411395,2.5,2.7472527472527473,2.5,2.7472527472527473
32,FakeGuadalupeV2,4,1,Train,-0.04324007034301758,-7.0991867105441875,0.21319961547851562,35.00327045935568,1.5,1.8181818181818181,3.5,4.242424242424243
33,FakeGuadalupeV2,4,1,Test,-0.0699205994606018,-12.173802859347674,0.27523013949394226,47.920033366389774,-3.5,-3.783783783783784,1.0,1.0810810810810811
34,FakeGuadalupeV2,4,2,Train,0.11856955289840698,21.688537276708374,0.13506200909614563,24.705308802663417,2.5,3.048780487804878,3.5,4.2682926829268295
35,FakeGuadalupeV2,4,2,Test,0.1479242742061615,30.360448727727636,0.2047579288482666,42.02516884909321,-2.0,-2.1052631578947367,-2.0,-2.1052631578947367
36,FakeGuadalupeV2,4,3,Train,0.11963939666748047,22.811572030044392,0.06821981072425842,13.007430408042264,-4.0,-4.597701149425287,-2.5,-2.8735632183908044
37,FakeGuadalupeV2,4,3,Test,0.18131300806999207,37.55960352313033,0.1310645341873169,27.150462023767574,-0.5,-0.5405405405405406,1.5,1.6216216216216217
38,FakeGuadalupeV2,4,4,Train,0.14862701296806335,26.14365157000462,0.18053436279296875,31.756188750737845,1.0,1.2048192771084338,3.0,3.614457831325301
39,FakeGuadalupeV2,4,4,Test,0.18759754300117493,34.9483380808489,0.2278561294078827,42.44828006244446,0.5,0.5434782608695652,0.0,0.0
40,FakeGuadalupeV2,8,0,Train,0.10774630308151245,16.44239060436382,0.2860648036003113,43.654298146996005,23.5,37.301587301587304,24.5,38.88888888888889
41,FakeGuadalupeV2,8,0,Test,0.12079381942749023,18.635226041485726,0.35677406191825867,55.040608212382566,23.0,34.074074074074076,24.0,35.55555555555556
42,FakeGuadalupeV2,8,1,Train,0.2511364221572876,38.29296187544692,0.2852332592010498,43.49200417195765,17.0,24.637681159420293,16.5,23.91304347826087
43,FakeGuadalupeV2,8,1,Test,0.27965855598449707,43.06671437280956,0.37439218163490295,57.65545449922593,15.0,19.607843137254903,15.5,20.26143790849673
44,FakeGuadalupeV2,8,2,Train,0.023907959461212158,3.6120508496188655,0.3092646300792694,46.72417031855935,17.0,25.757575757575758,18.5,28.030303030303028
45,FakeGuadalupeV2,8,2,Test,0.029506325721740723,4.462831449531772,0.38851428031921387,58.76278073902117,17.0,23.776223776223777,22.0,30.76923076923077
46,FakeGuadalupeV2,8,3,Train,0.2070220410823822,31.82353310908527,0.3077666759490967,47.31004945527365,18.0,26.865671641791046,18.5,27.611940298507463
47,FakeGuadalupeV2,8,3,Test,0.2683736979961395,41.166690057367404,0.38461780548095703,58.997741235458726,25.0,37.59398496240601,25.5,38.34586466165413
48,FakeGuadalupeV2,8,4,Train,0.08502334356307983,12.827958475492252,0.29072263836860657,43.8629884051921,-0.5,-0.6578947368421052,9.5,12.5
49,FakeGuadalupeV2,8,4,Test,0.0874718427658081,13.185362403531206,0.3747042417526245,56.482304081284994,-1.0,-1.4598540145985401,24.0,35.03649635036496
50,FakeGuadalupeV2,10,0,Train,0.12258684635162354,18.292405471073472,0.2789686620235443,41.62769523265368,16.0,23.88059701492537,20.0,29.850746268656714
51,FakeGuadalupeV2,10,0,Test,0.12716734409332275,18.89434407034548,0.2874159812927246,42.70385986732157,17.5,27.131782945736433,26.0,40.310077519379846
52,FakeGuadalupeV2,10,1,Train,0.24393817782402039,36.773769001696266,0.33029401302337646,49.79194255655739,21.5,32.57575757575758,22.5,34.090909090909086
53,FakeGuadalupeV2,10,1,Test,0.28664883971214294,43.92169865497849,0.36327722668647766,55.663064587188934,19.5,27.083333333333332,19.0,26.38888888888889
54,FakeGuadalupeV2,10,2,Train,0.15647748112678528,24.90295673085816,0.2716323435306549,43.22953340592587,34.0,63.55140186915887,30.5,57.009345794392516
55,FakeGuadalupeV2,10,2,Test,0.16835090517997742,26.720968072597305,0.370238721370697,58.764976894001705,36.0,69.90291262135922,40.0,77.66990291262135
56,FakeGuadalupeV2,10,3,Train,0.2511223554611206,39.66234700051391,0.18532544374465942,29.27036123218793,36.5,73.0,34.5,69.0
