,Device,Qubits,Model,Model_spec,sim_iter_num,Dataset,binary_cross_entropy_loss,accuracy,best_epoch
59,AerSim (IBM-Yonsei),4,HQCNN-EZ,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.38488200306892395,93.0,18.0
60,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.3542931377887726,86.0,9.0
61,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.230229914188385,93.5,9.0
62,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.37686192989349365,85.5,12.0
63,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.26034262776374817,93.0,12.0
64,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Train,0.39265573024749756,85.0,8.0
65,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,2,Test,0.2734479010105133,94.0,8.0
66,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Train,0.38079726696014404,84.0,19.0
67,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,3,Test,0.24734489619731903,93.0,19.0
68,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Train,0.3879263401031494,83.0,11.0
69,noiseless,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,4,Test,0.2533777356147766,94.5,11.0
70,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Train,0.3735826909542084,85.5,18.0
71,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,0,Test,0.2315092533826828,93.5,18.0
72,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Train,0.3958852291107178,86.0,12.0
73,FakeGuadalupeV2,4,HQCNN-EM,AngleEmbed_ConvSimple_PoolSimple_ReLU_hl1_batch10_lr0.01,1,Test,0.2991228401660919,93.5,12.0
