,Device,Qubits,sim_iter_num,Dataset,Diff_loss_HQCNN-EZ,%_loss_improve_HQCNN-EZ,Diff_loss_HQCNN-EM,%_loss_improve_HQCNN-EM,Diff_accu_HQCNN-EZ,%_accu_improve_HQCNN-EZ,Diff_accu_HQCNN-EM,%_accu_improve_HQCNN-EM
21,noiseless,10,0,Test,0.228578120470047,36.6643580771489,0.25957244634628296,41.63590592236389,17.5,24.137931034482758,18.5,25.517241379310345
22,noiseless,10,1,Train,0.28241413831710815,45.48118526382578,0.29279661178588867,47.153223364128486,10.0,12.738853503184714,8.0,10.191082802547772
23,noiseless,10,1,Test,0.3238562345504761,52.09630989513345,0.3522929549217224,56.67071062858855,13.5,17.197452229299362,13.0,16.560509554140125
24,noiseless,10,2,Train,0.27512484788894653,48.73815659043269,0.29524004459381104,52.3015483173943,39.0,75.72815533980582,37.0,71.84466019417476
25,noiseless,10,2,Test,0.23987215757369995,44.17154164271162,0.29733043909072876,54.7522647262912,43.0,88.65979381443299,43.0,88.65979381443299
26,noiseless,10,3,Train,0.31779785454273224,56.38987109604165,0.22033986449241638,39.09698060713605,39.0,77.22772277227723,36.5,72.27722772277228
27,noiseless,10,3,Test,0.31311726570129395,58.13420707419353,0.18983960151672363,35.24613911257079,43.5,88.77551020408163,41.0,83.6734693877551
28,noiseless,10,4,Train,0.21680650115013123,34.296424465184046,0.3685570955276489,58.30171383614887,4.0,4.733727810650888,6.0,7.100591715976331
29,noiseless,10,4,Test,0.21805113554000854,34.15978560790337,0.38300567865371704,60.001484683944405,-0.5,-0.5555555555555556,1.5,1.6666666666666667
30,FakeGuadalupeV2,4,0,Train,0.03214460611343384,5.831094535943173,0.1932939887046814,35.063908308258476,1.0,1.183431952662722,-1.0,-1.183431952662722
31,FakeGuadalupeV2,4,0,Test,0.05458861589431763,10.459829569574836,0.29216597974300385,55.98248470076683,4.0,4.519774011299435,5.0,5.649717514124294
32,FakeGuadalupeV2,4,1,Train,-0.05278670787811279,-8.827190346539489,0.1683655083179474,28.154708816963886,-3.0,-3.571428571428571,2.0,2.380952380952381
33,FakeGuadalupeV2,4,1,Test,-0.05898463726043701,-10.17273536936479,0.2718590795993805,46.88594527271127,-7.0,-7.4074074074074066,-1.5,-1.5873015873015872
34,FakeGuadalupeV2,4,2,Train,0.13606441020965576,25.01648473098026,0.16200503706932068,29.785867810265543,0.0,0.0,2.0,2.380952380952381
35,FakeGuadalupeV2,4,2,Test,0.16011446714401245,32.63447907382479,0.24231620132923126,49.38881003435442,-2.5,-2.631578947368421,-2.0,-2.1052631578947367
36,FakeGuadalupeV2,4,3,Train,0.13513174653053284,25.52170612221189,0.12274762988090515,23.182775457657982,-1.0,-1.1695906432748537,-1.5,-1.7543859649122806
37,FakeGuadalupeV2,4,3,Test,0.17355290055274963,36.16732615121209,0.18709796667099,38.99003221073562,-1.0,-1.06951871657754,-2.5,-2.6737967914438503
38,FakeGuadalupeV2,4,4,Train,0.14768168330192566,26.124896127787313,0.21142935752868652,37.401862440240194,0.0,0.0,-0.5,-0.6024096385542169
39,FakeGuadalupeV2,4,4,Test,0.20967867970466614,39.706631462427104,0.30470599234104156,57.70185390007313,1.0,1.0810810810810811,0.5,0.5405405405405406
40,FakeGuadalupeV2,8,0,Train,0.11687713861465454,17.864191646268647,0.335899293422699,51.340830402541556,20.5,31.538461538461537,22.5,34.61538461538461
41,FakeGuadalupeV2,8,0,Test,0.14195996522903442,21.821328086010936,0.4154016077518463,63.85331776874455,24.5,36.84210526315789,25.5,38.34586466165413
42,FakeGuadalupeV2,8,1,Train,0.25926297903060913,39.61845169365561,0.2919067144393921,44.60680081788848,17.0,24.46043165467626,17.5,25.179856115107913
43,FakeGuadalupeV2,8,1,Test,0.2975675165653229,45.869877170808685,0.3808242976665497,58.70386646786231,15.0,19.736842105263158,15.0,19.736842105263158
44,FakeGuadalupeV2,8,2,Train,0.017128586769104004,2.5956437407835544,0.27710989117622375,41.99287216375543,-13.5,-18.75,16.0,22.22222222222222
45,FakeGuadalupeV2,8,2,Test,0.026896893978118896,4.0831666454630895,0.3711755871772766,56.34746444721006,-14.5,-19.727891156462583,19.0,25.850340136054424
46,FakeGuadalupeV2,8,3,Train,0.22285151481628418,33.98355589238706,0.3179657757282257,48.48792578428002,17.5,26.923076923076923,20.0,30.76923076923077
47,FakeGuadalupeV2,8,3,Test,0.30010145902633667,46.00450591088998,0.4051928371191025,62.11464726221186,24.0,35.03649635036496,24.0,35.03649635036496
48,FakeGuadalupeV2,8,4,Train,0.09737944602966309,14.603530899572412,0.3005113899707794,45.06625933952148,12.5,18.939393939393938,19.0,28.78787878787879
49,FakeGuadalupeV2,8,4,Test,0.11192822456359863,16.8704707378129,0.38151460886001587,57.50409309104918,7.0,10.071942446043165,22.5,32.37410071942446
50,FakeGuadalupeV2,10,0,Train,0.14061826467514038,21.198473576701208,0.26019975543022156,39.22561306594478,17.0,26.356589147286826,21.0,32.55813953488372
51,FakeGuadalupeV2,10,0,Test,0.13313937187194824,19.946736857878243,0.3115766942501068,46.67994330957123,13.0,19.25925925925926,22.5,33.33333333333333
52,FakeGuadalupeV2,10,1,Train,0.23779502511024475,36.380262218046575,0.26965439319610596,41.254427119215315,17.0,24.285714285714285,15.5,22.142857142857142
53,FakeGuadalupeV2,10,1,Test,0.2597198784351349,40.35053220688802,0.33369359374046326,51.84321732546777,17.0,23.12925170068027,17.0,23.12925170068027
54,FakeGuadalupeV2,10,2,Train,0.14179882407188416,22.727489416242,0.29939666390419006,47.987242169872445,32.5,63.725490196078425,38.0,74.50980392156863
55,FakeGuadalupeV2,10,2,Test,0.15190479159355164,24.640711412770237,0.35201069712638855,57.10020013922728,35.0,66.0377358490566,38.0,71.69811320754717
56,FakeGuadalupeV2,10,3,Train,0.26361653208732605,41.785570441930616,0.19073054194450378,30.232491235449455,36.0,69.90291262135922,33.5,65.0485436893204
57,FakeGuadalupeV2,10,3,Test,0.2963489294052124,48.73600223648583,0.15450844168663025,25.409654000467963,36.0,63.1578947368421,22.5,39.473684210526315
58,FakeGuadalupeV2,10,4,Train,0.11180156469345093,16.374030145124795,0.37204572558403015,54.48839596101455,30.0,55.04587155963303,35.0,64.22018348623854
59,FakeGuadalupeV2,10,4,Test,0.08881068229675293,13.204159090870823,0.3954344093799591,58.79223891120161,23.0,38.983050847457626,33.0,55.932203389830505
60,AerSim with backend noise,4,0,Train,0.01824057102203369,3.126123993813252,0.22935011982917786,39.30671423147145,7.5,9.554140127388536,6.5,8.280254777070063
61,AerSim with backend noise,4,0,Test,0.017969906330108643,3.2458807562341776,0.3181378096342087,57.464817854502805,5.5,6.2857142857142865,5.0,5.714285714285714
62,AerSim with backend noise,4,1,Train,-0.03113800287246704,-4.988562027842266,0.1538020372390747,24.640340805352412,-3.0,-3.821656050955414,7.0,8.9171974522293
63,AerSim with backend noise,4,1,Test,-0.0468021035194397,-7.794422961717731,0.26514920592308044,44.157952389248145,-5.0,-5.555555555555555,3.5,3.888888888888889
64,AerSim with backend noise,4,2,Train,0.18536698818206787,32.21432559450005,0.1979602575302124,34.402868889393,4.5,5.590062111801243,4.5,5.590062111801243
65,AerSim with backend noise,4,2,Test,0.2546809911727905,47.86517483269518,0.29605595767498016,55.64125578873552,-1.0,-1.06951871657754,0.5,0.53475935828877
66,AerSim with backend noise,4,3,Train,0.15584111213684082,28.039200272908676,0.13442963361740112,24.186810321927783,-1.0,-1.1627906976744187,-1.0,-1.1627906976744187
67,AerSim with backend noise,4,3,Test,0.1863478124141693,36.50056080662755,0.1915428340435028,37.51812683231176,-2.0,-2.1164021164021163,-3.5,-3.7037037037037033
68,AerSim with backend noise,4,4,Train,0.15638771653175354,26.689822764352026,0.22393497824668884,38.21773866062942,1.0,1.2121212121212122,2.5,3.0303030303030303
69,AerSim with backend noise,4,4,Test,0.21507835388183594,37.94392055576809,0.33396609127521515,58.917983176629406,5.5,6.321839080459771,6.5,7.471264367816093
70,AerSim with backend noise,8,0,Train,0.15397125482559204,22.541344488083677,0.2642717957496643,38.68930985348788,26.5,44.91525423728814,25.5,43.22033898305085
71,AerSim with backend noise,8,0,Test,0.17084503173828125,25.158472349286143,0.32455936074256897,47.79429416158013,35.0,61.40350877192983,35.0,61.40350877192983
72,AerSim with backend noise,8,1,Train,0.29206931591033936,44.41616175386602,0.3021206259727478,45.94470511412522,18.5,26.811594202898554,18.0,26.08695652173913
73,AerSim with backend noise,8,1,Test,0.3531282842159271,53.417246678727494,0.3788547217845917,57.308850730839985,23.0,33.82352941176471,24.0,35.294117647058826
74,AerSim with backend noise,8,2,Train,0.052893757820129395,8.026757002393708,0.3031404912471771,46.0023103123399,-0.5,-0.7092198581560284,16.0,22.69503546099291
75,AerSim with backend noise,8,2,Test,0.06937909126281738,10.507348584973235,0.4073593318462372,61.69389683753531,-1.5,-2.0689655172413794,19.5,26.89655172413793
76,AerSim with backend noise,8,3,Train,0.1939142644405365,29.59185177066312,0.3431486189365387,52.365426010171866,19.5,30.0,23.0,35.38461538461539
77,AerSim with backend noise,8,3,Test,0.276333749294281,42.48408855026244,0.38475701212882996,59.15329204399106,19.5,27.659574468085108,22.5,31.914893617021278
78,AerSim with backend noise,8,4,Train,0.19576048851013184,30.258040134662963,0.3042287826538086,47.02361945312657,16.0,21.91780821917808,13.0,17.80821917808219
79,AerSim with backend noise,8,4,Test,0.21800047159194946,33.164790910188934,0.3917296826839447,59.5945179597834,19.0,27.33812949640288,22.5,32.37410071942446
80,AerSim with backend noise,10,0,Train,0.15309125185012817,23.177050105190055,0.19859769940376282,30.066439291793085,20.5,31.782945736434108,21.5,33.33333333333333
81,AerSim with backend noise,10,0,Test,0.18253281712532043,27.432676281623486,0.2346847951412201,35.27054539956009,20.5,31.060606060606062,22.5,34.090909090909086
82,AerSim with backend noise,10,1,Train,0.27430009841918945,41.32234610766528,0.2992329001426697,45.07838508901829,25.5,42.5,26.5,44.166666666666664
83,AerSim with backend noise,10,1,Test,0.2849702537059784,43.870113286750886,0.34589457511901855,53.24918653229091,28.5,45.23809523809524,27.0,42.857142857142854
84,AerSim with backend noise,10,2,Train,0.18398702144622803,30.648280551226026,0.2583637833595276,43.03784937892053,34.5,62.16216216216216,33.0,59.45945945945946
85,AerSim with backend noise,10,2,Test,0.1831258237361908,30.905404565323362,0.3070354461669922,51.8171303538014,35.0,64.22018348623854,36.5,66.97247706422019
86,AerSim with backend noise,10,3,Train,0.25310179591178894,41.010688765448265,0.20062339305877686,32.5074877567017,24.5,41.52542372881356,25.5,43.22033898305085
87,AerSim with backend noise,10,3,Test,0.32034340500831604,52.62274595797912,0.1898929476737976,31.19367587539586,37.5,66.3716814159292,33.0,58.4070796460177
88,AerSim with backend noise,10,4,Train,0.12132328748703003,17.993635162192863,0.3820948600769043,56.66905053416017,19.0,29.6875,25.0,39.0625
89,AerSim with backend noise,10,4,Test,0.1355648636817932,19.745424431375174,0.43419209122657776,63.24136574311009,29.5,53.153153153153156,37.0,66.66666666666666
